Sample 	Yeast Strain	Nucleic Acid Conc.	Unit	A260	A280	260/280	Total RNA				
1	snf2	1756.1	ng/µl	43.903	19.909	2.21	52.683	µgm			
2	snf2	1914.8	ng/µl	47.871	22.065	2.17	57.444	µgm
3	snf2	1378.6	ng/µl	34.465	15.606	2.21	41.358	µgm
4	snf2	1359.4	ng/µl	33.985	15.361	2.21	40.782	µgm
5	snf2	1122.7	ng/µl	28.068	12.656	2.22	33.681	µgm			
6	snf2	1926.2	ng/µl	48.155	22.079	2.18	57.786	µgm			
7	snf2	1008.9	ng/µl	25.224	11.403	2.21	30.267	µgm			
8	snf2	1548.2	ng/µl	38.704	17.596	2.2	46.446	µgm			
9	snf2	1713.2	ng/µl	42.83	19.547	2.19	51.396	µgm			
10	snf2	1934.1	ng/µl	48.353	22.143	2.18	58.023	µgm			
11	snf2	1038	ng/µl	25.95	11.769	2.2	31.14	µgm			
12	snf2	1274.9	ng/µl	31.873	14.423	2.21	38.247	µgm			
13	snf2	1665.4	ng/µl	41.634	19.035	2.19	49.962	µgm			
14	snf2	2127.1	ng/µl	53.177	24.744	2.15	63.813	µgm			
15	snf2	2018.6	ng/µl	50.465	23.293	2.17	60.558	µgm			
16	snf2	2321.6	ng/µl	58.039	26.302	2.21	69.648	µgm			
17	snf2	1602.1	ng/µl	40.053	18.175	2.2	48.063	µgm			
18	snf2	2009.8	ng/µl	50.244	23.063	2.18	60.294	µgm			
19	snf2	1744	ng/µl	43.601	19.91	2.19	52.32	µgm			
20	snf2	2197.3	ng/µl	54.932	25.599	2.15	65.919	µgm			
21	snf2	1579.4	ng/µl	39.486	18.018	2.19	47.382	µgm			
22	snf2	1427.8	ng/µl	35.695	16.201	2.2	42.834	µgm			
23	snf2	1790.9	ng/µl	44.772	20.466	2.19	53.727	µgm			
24	snf2	1385.8	ng/µl	34.644	15.7	2.21	41.574	µgm			
25	snf2	3671.7	ng/µl	91.793	42.588	2.16	110.151	µgm			
26	snf2	3168.5	ng/µl	79.212	36.006	2.2	95.055	µgm			
27	snf2	3990	ng/µl	99.749	46.585	2.14	119.7	µgm			
28	snf2	2695.9	ng/µl	67.397	30.677	2.2	80.877	µgm			
29	snf2	3020.1	ng/µl	75.503	34.415	2.19	90.603	µgm			
30	snf2	2601.2	ng/µl	65.031	29.436	2.21	78.036	µgm			
31	snf2	3259.5	ng/µl	81.486	37.237	2.19	97.785	µgm			
32	snf2	2915.5	ng/µl	72.886	32.953	2.21	87.465	µgm			
33	snf2	2365.5	ng/µl	59.138	26.663	2.22	70.965	µgm			
34	snf2	2434.1	ng/µl	60.851	27.495	2.21	73.023	µgm			
35	snf2	2284.4	ng/µl	57.111	25.929	2.2	68.532	µgm			
36	snf2	3676.3	ng/µl	91.909	42.772	2.15	110.289	µgm			
37	snf2	2526.4	ng/µl	63.159	28.706	2.2	75.792	µgm			
38	snf2	2338.4	ng/µl	58.459	26.367	2.22	70.152	µgm			
39	snf2	3698.3	ng/µl	92.458	42.612	2.17	110.949	µgm			
40	snf2	3020.7	ng/µl	75.517	34.226	2.21	90.621	µgm			
41	snf2	3044.5	ng/µl	76.111	34.62	2.2	91.335	µgm			
42	snf2	2754.5	ng/µl	68.864	31.28	2.2	82.635	µgm			
43	snf2	3974	ng/µl	99.35	46.548	2.13	119.22	µgm			
44	snf2	2986.3	ng/µl	74.658	34.06	2.19	89.589	µgm			
45	snf2	2458.2	ng/µl	61.455	27.824	2.21	73.746	µgm			
46	snf2	3299.3	ng/µl	82.482	37.885	2.18	98.979	µgm			
47	snf2	2929.9	ng/µl	73.249	33.084	2.21	87.897	µgm			
48	snf2	2854.7	ng/µl	71.368	32.398	2.2	85.641	µgm			
49	WT	2052.2	ng/µl	51.305	23.627	2.17	61.566	µgm			
50	WT	1884.2	ng/µl	47.105	21.602	2.18	56.526	µgm			
51	WT	2691.8	ng/µl	67.295	30.579	2.2	80.754	µgm			
52	WT	3022	ng/µl	75.549	34.267	2.2	90.66	µgm			
53	WT	3235	ng/µl	80.875	36.86	2.19	97.05	µgm			
54	WT	3735.2	ng/µl	93.379	43.246	2.16	112.056	µgm			
55	WT	3323.5	ng/µl	83.088	37.964	2.19	99.705	µgm			
56	WT	2377.7	ng/µl	59.443	26.887	2.21	71.331	µgm			
57	WT	2591.1	ng/µl	64.777	29.407	2.2	77.733	µgm			
58	WT	2923.8	ng/µl	73.094	33.143	2.21	87.714	µgm			
59	WT	3134.2	ng/µl	78.356	35.625	2.2	94.026	µgm			
60	WT	2322.1	ng/µl	58.054	26.4	2.2	69.663	µgm			
61	WT	2027.5	ng/µl	50.686	23.356	2.17	60.825	µgm			
62	WT	2889.2	ng/µl	72.229	32.847	2.2	86.676	µgm			
63	WT	2940.7	ng/µl	73.517	33.353	2.2	88.221	µgm			
64	WT	2147.5	ng/µl	53.686	24.904	2.16	64.425	µgm			
65	WT	3380.5	ng/µl	84.513	38.704	2.18	101.415	µgm			
66	WT	2976.4	ng/µl	74.41	33.842	2.2	89.292	µgm			
67	WT	2455.1	ng/µl	61.377	27.925	2.2	73.653	µgm			
68	WT	2386.4	ng/µl	59.659	26.946	2.21	71.592	µgm			
69	WT	1683.9	ng/µl	42.098	19.142	2.2	50.517	µgm			
70	WT	2520	ng/µl	63	28.666	2.2	75.6	µgm			
71	WT	1031.2	ng/µl	25.779	11.626	2.22	30.936	µgm			
72	WT	2036.7	ng/µl	50.918	23.496	2.17	61.101	µgm			
73	WT	2563.4	ng/µl	64.085	29.167	2.2	76.902	µgm			
74	WT	2807.9	ng/µl	70.198	31.741	2.21	84.237	µgm			
75	WT	1784.5	ng/µl	44.612	20.288	2.2	53.535	µgm			
76	WT	3703.9	ng/µl	92.597	43.194	2.14	111.117	µgm			
77	WT	2539.4	ng/µl	63.484	28.757	2.21	76.182	µgm			
78	WT	3925.1	ng/µl	98.128	45.492	2.16	117.753	µgm			
79	WT	3537.3	ng/µl	88.432	40.512	2.18	106.119	µgm			
80	WT	2537	ng/µl	63.424	28.749	2.21	76.11	µgm			
81	WT	1791.3	ng/µl	44.782	20.378	2.2	53.739	µgm			
82	WT	3997	ng/µl	99.925	46.886	2.13	119.91	µgm			
83	WT	2741.4	ng/µl	68.535	31.23	2.19	82.242	µgm			
84	WT	4231.3	ng/µl	105.783	50.261	2.1	126.939	µgm			
85	WT	1875.6	ng/µl	46.89	21.324	2.2	56.268	µgm			
86	WT	3240.8	ng/µl	81.019	37.107	2.18	97.224	µgm			
87	WT	3472.6	ng/µl	86.814	39.981	2.17	104.178	µgm			
88	WT	3002.1	ng/µl	75.052	34.091	2.2	90.063	µgm			
89	WT	2916.6	ng/µl	72.914	33.178	2.2	87.498	µgm			
90	WT	1422.2	ng/µl	35.554	16.169	2.2	42.666	µgm			
91	WT	2537.4	ng/µl	63.436	28.788	2.2	76.122	µgm			
92	WT	1980.1	ng/µl	49.503	22.715	2.18	59.403	µgm			
93	WT	1094.2	ng/µl	27.355	12.393	2.21	32.826	µgm			
94	WT	1532.1	ng/µl	38.302	17.415	2.2	45.963	µgm			
95	WT	2540	ng/µl	63.501	28.772	2.21	76.2	µgm			
96	WT	2004.6	ng/µl	50.115	22.897	2.19	60.138	µgm			
